MoveType PokemonType Effective

Normal Rock 0.5
Normal Ghost 0
Fire Fire 0.5
Fire Water 0.5
Fire Grass 2
Fire Ice 2
Fire Bug 2
Fire Rock 0.5
Fire Dragon 0.5
Water Fire 2
Water Water 0.5
Water Grass 0.5
Water Ground 2
Water Rock 2
Water Dragon 0.5
Electric Water 2
Electric Electric 0.5
Electric Grass 0.5
Electric Ground 0
Electric Flying 2
Electric Dragon 0.5
Grass Fire 0.5
Grass Water 2
Grass Grass 0.5
Grass Poison 0.5
Grass Ground 2
Grass Flying 0.5
Grass Bug 0.5
Grass Rock 2
Grass Dragon 0.5
Ice Fire 0.5
Ice Water 0.5
Ice Grass 2
Ice Ice 0.5
Ice Ground 2
Ice Flying 2
Ice Dragon 2
Fighting Normal 2
Fighting Ice 2
Fighting Poison 0.5
Fighting Flying 0.5
Fighting Psychic 0.5
Fighting Bug 0.5
Fighting Rock 2
Fighting Ghost 0
Poison Grass 2
Poison Poison 0.5
Poison Ground 0.5
Poison Rock 0.5
Poison Ghost 0.5
Ground Fire 2
Ground Electric 2
Ground Grass 0.5
Ground Poison 2
Ground Flying 0
Ground Bug 0.5
Ground Rock 2
Flying Electric 0.5
Flying Grass 2
Flying Fighting 2
Flying Bug 2
Flying Rock 0.5
Psychic Fighting 2
Psychic Poison 2
Psychic Psychic 0.5
Bug Fire 0.5
Bug Grass 2
Bug Fighting 0.5
Bug Poison 0.5
Bug Flying 0.5
Bug Psychic 2
Bug Ghost 0.5
Rock Fire 2
Rock Ice 2
Rock Fighting 0.5
Rock Ground 0.5
Rock Flying 2
Rock Bug 2
Ghost Normal 0
Ghost Psychic 2
Ghost Ghost 2
Dragon Dragon 2
